,0
0,boletín
1,campaña
2,descargar
3,audio
4,discurso
5,amlo
6,ciudad
7,juárez
8,chihuahua
9,de
10,abril
11,de
12,palabras
13,de
14,andrés
15,manuel
16,lópez
17,obrador
18,candidato
19,a
20,la
21,presidencia
22,de
23,la
24,república
25,por
26,la
27,coalición
28,juntos
29,haremos
30,historia
31,en
32,su
33,inicio
34,de
35,campaña
36,en
37,ciudad
38,juárez
39,chihuahua
40,amigas
41,y
42,amigos
43,iniciamos
44,la
45,campaña
46,aquí
47,donde
48,comienza
49,nuestra
50,patria
51,en
52,ciudad
53,juárez
54,iniciamos
55,aquí
56,la
57,campaña
58,como
59,homenaje
60,a
61,este
62,legendario
63,paso
64,del
65,norte
66,donde
67,se
68,refugió
69,y
70,resistió
71,juárez
72,y
73,su
74,gabinete
75,en
76,los
77,tiempos
78,de
79,la
80,lucha
81,contra
82,los
83,conservadores
84,y
85,la
86,invasión
87,francesa
88,medio
89,siglo
90,después
91,en
92,mayo
93,de
94,aquí
95,también
96,tuvo
97,lugar
98,la
99,batalla
100,decisiva
101,en
102,la
103,cual
104,los
105,revolucionarios
106,encabezados
107,por
108,francisco
109,i
110,madero
111,con
112,el
113,apoyo
114,militar
115,de
116,pascual
117,orozco
118,y
119,francisco
120,villa
121,derrotaron
122,al
123,ejército
124,federal
125,para
126,propiciar
127,la
128,caída
129,del
130,régimen
131,dictatorial
132,porfirista
133,de
134,modo
135,que
136,ciudad
137,juárez
138,antes
139,paso
140,del
141,norte
142,ha
143,sido
144,testigo
145,de
146,hechos
147,históricos
148,trascendentes
149,y
150,punto
151,de
152,partida
153,de
154,importantes
155,transformaciones
156,por
157,eso
158,decidimos
159,iniciar
160,nuestra
161,campaña
162,aquí
163,en
164,este
165,sitio
166,por
167,demás
168,emblemático
169,aquí
170,al
171,pie
172,de
173,la
174,estatua
175,del
176,mejor
177,presidente
178,que
179,ha
180,habido
181,en
182,la
183,historia
184,de
185,nuestro
186,país
187,benito
188,juárez
189,garcía
190,ciudad
191,juárez
192,representa
193,el
194,pasado
195,glorioso
196,también
197,el
198,presente
199,de
200,los
201,grandes
202,y
203,graves
204,problemas
205,nacionales
206,y
207,también
208,aquí
209,en
210,ciudad
211,juárez
212,como
213,todo
214,méxico
215,se
216,está
217,expresando
218,manifestando
219,la
220,posibilidad
221,de
222,lograr
223,juntos
224,un
225,mejor
226,porvenir
227,para
228,nuestro
229,pueblo
230,y
231,nuestra
232,nación
233,la
234,situación
235,actual
236,en
237,ciudad
238,juárez
239,es
240,muy
241,parecida
242,a
243,lo
244,que
245,sucede
246,en
247,el
248,resto
249,del
250,país
251,antes
252,había
253,más
254,diferencias
255,entre
256,el
257,norte
258,y
259,el
260,sur
261,de
262,méxico
263,hasta
264,hace
265,poco
266,el
267,crecimiento
268,económico
269,en
270,la
271,frontera
272,era
273,superior
274,a
275,la
276,media
277,nacional
278,y
279,por
280,lo
281,mismo
282,había
283,mayores
284,oportunidades
285,de
286,empleos
287,en
288,toda
289,esta
290,región
291,fronteriza
292,a
293,partir
294,de
295,la
296,recesión
297,económica
298,producida
299,en
300,en
301,los
302,estados
303,unidos
304,ciudad
305,juárez
306,pasó
307,a
308,ser
309,uno
310,de
311,los
312,centros
313,urbanos
314,con
315,mayor
316,desempleo
317,en
318,el
319,país
320,aparejada
321,a
322,esa
323,crisis
324,económica
325,ha
326,venido
327,como
328,rémora
329,la
330,crisis
331,de
332,bienestar
333,social
334,que
335,se
336,sumó
337,a
338,la
339,inseguridad
340,y
341,la
342,violencia
343,que
344,ya
345,venían
346,de
347,tiempo
348,atrás
349,aquí
350,empezó
351,el
352,horror
353,de
354,los
355,feminicidios
356,que
357,desgraciadamente
358,siguen
359,ocurriendo
360,en
361,todo
362,el
363,país
364,y
365,con
366,mayor
367,incidencia
368,en
369,las
370,colonias
371,populares
372,de
373,las
374,grandes
375,ciudades
376,de
377,nuestra
378,república
379,hoy
380,las
381,multiplicadas
382,amenazas
383,a
384,la
385,integridad
386,y
387,a
388,la
389,vida
390,acechan
391,en
392,forma
393,particularmente
394,devastadora
395,a
396,las
397,mujeres
398,y
399,a
400,los
401,jóvenes
402,no
403,fue
404,casual
405,que
406,el
407,papa
408,francisco
409,decidiera
410,venir
411,a
412,ciudad
413,juárez
414,hace
415,más
416,de
417,dos
418,años
419,para
420,alzar
421,la
422,voz
423,y
424,sostener
425,que
426,uno
427,de
428,los
429,principales
430,flagelos
431,a
432,los
433,que
434,se
435,ven
436,expuestos
437,los
438,jóvenes
439,es
440,la
441,negación
442,de
443,su
444,derecho
445,al
446,estudio
447,y
448,al
449,trabajo
450,sostenible
451,y
452,redituable
453,y
454,la
455,imposibilidad
456,de
457,realizarse
458,y
459,proyectarse
460,esto
461,genera
462,condiciones
463,de
464,pobreza
465,y
466,marginación
467,y
468,esta
469,pobreza
470,y
471,esta
472,marginación
473,son
474,el
475,mayor
476,caldo
477,de
478,cultivo
479,para
480,que
481,caigan
482,en
483,el
484,círculo
485,del
486,narcotráfico
487,y
488,de
489,la
490,violencia
491,ha
492,sido
493,tan
494,pronunciada
495,la
496,decadencia
497,del
498,país
499,en
500,los
501,últimos
502,tiempos
503,que
504,sólo
505,la
506,fortaleza
507,cultural
508,de
509,nuestro
510,pueblo
511,permite
512,explicar
513,por
514,qué
515,tanto
516,aguante
517,y
518,por
519,qué
520,tanta
521,resistencia
522,hemos
523,padecido
524,no
525,sólo
526,crisis
527,económica
528,y
529,colapso
530,del
531,bienestar
532,social
533,sino
534,corrupción
535,política
536,inseguridad
537,y
538,violencia
539,según
540,nuestro
541,diagnóstico
542,el
543,problema
544,se
545,originó
546,a
547,partir
548,de
549,la
550,aplicación
551,del
552,llamado
553,modelo
554,neoliberal
555,que
556,no
557,ha
558,dado
559,resultados
560,ni
561,siquiera
562,en
563,términos
564,cuantitativos
565,baste
566,señalar
567,que
568,en
569,treinta
570,años
571,descontando
572,el
573,aumento
574,de
575,la
576,población
577,el
578,crecimiento
579,real
580,de
581,la
582,economía
583,ha
