fname,ObjectId
010418 JAMK miles siguen inicio campaña.txt,5ec3089dd380e649eb619dab
010418 JAMK Yuc candidato cerca jóvenes.txt,5ec3089dd380e649eb619dac
010418 JAMK Yuc presenta 7 compr Mex.txt,5ec3089dd380e649eb619dad
010518 JAMK Edomex unidad.txt,5ec3089dd380e649eb619de8
010618 Eurviel Avila Edomex Ecatepec.txt,5ec3089dd380e649eb619e13
010618 JAMK Jalisco compromisos por Jal.txt,5ec3089dd380e649eb619e14
020418 JAMK Sinaloa recibimiento candidato.txt,5ec3089dd380e649eb619daa
020418 JAMK Sonora 7 compromisos por Mex.txt,5ec3089dd380e649eb619dae
020418 JAMK Sonora bienvenida a Meade.txt,5ec3089dd380e649eb619daf
020518 JAMK Pue Plan Nal Transp.txt,5ec3089dd380e649eb619de9
020618 JAMK Colima Sin amnistía.txt,5ec3089dd380e649eb619e15
030418 JAMK Edomex Juana indígenas.txt,5ec3089dd380e649eb619db0
030418 JAMK Sinaloa Avanzar Contigo.txt,5ec3089dd380e649eb619db1
030518 JAMK Mich defensa migrantes.txt,5ec3089dd380e649eb619dea
030518 JAMK Mich desarrollo eco.txt,5ec57a4fa5e2f93624f8341c
030618 JAMK Hidalgo jefas de familia.txt,5ec3089dd380e649eb619e16
040418 JAMK Dgo desarrollo Edo.txt,5ec57665a5e2f93624f8341a
040418 JAMK Dgo red por la eco familiar.txt,5ec3089dd380e649eb619db2
040418 JAMK Hgo Juana con mujeres trab.txt,5ec3089dd380e649eb619db3
040518 JAMK CDMX PIB a ciencia.txt,5ec3089dd380e649eb619deb
040618 Eurviel Avila Pue. indisp para ganar.txt,5ec3089dd380e649eb619e17
040618 JAMK SLP con SNTE.txt,5ec3089dd380e649eb619e18
050418 JAMK CDMX presentó 7de7.txt,5ec3089dd380e649eb619db4
050418 JAMK CDMX UNICEF.txt,5ec3089dd380e649eb619db5
050518 JAMK Veracruz petróleo.txt,5ec3089dd380e649eb619dec
050518 JAMK Veracruz seguridad.txt,5ec3089dd380e649eb619dee
050618 JAMK CDMX Univ Anáhuac.txt,5ec3089dd380e649eb619e19
060418 JAMK Qro compromiso con Edo..txt,5ec3089dd380e649eb619db6
060418 JAMK Qro guarderías.txt,5ec3089dd380e649eb619db7
060418 JAMK Qro Juana dialoga mujeres.txt,5ec3089dd380e649eb619db8
060518 JAMK CDMX PRI se la jugará.txt,5ec3089dd380e649eb619ded
060618 JAMK Chih opciones riesgo México.txt,5ec3089dd380e649eb619e1a
070418 JAMK CDMX Juana Cuevas niñez salud.txt,5ec3089dd380e649eb619db9
070418 JAMK Edomex sector salud.txt,5ec3089dd380e649eb619dba
070418 JAMK Edomex trenes suburbanos.txt,5ec3089dd380e649eb619dbb
070518 JAMK CDMX Hendricks se suma.txt,5ec3089dd380e649eb619def
070518 JAMK CDMX Prospera.txt,5ec3089dd380e649eb619df0
070518 JAMK CDMX reunión con Fink.txt,5ec57736a5e2f93624f8341b
070618 JAMK CDMX hará gira x Mich.txt,5ec3089dd380e649eb619e1b
070618 JAMK Mich habrá paz Mex.txt,5ec3089dd380e649eb619e1c
070618 Vanessa Rubio CDMX cierre Meade.txt,5ec3089dd380e649eb619e1d
080418 JAMK Ver estimular desarr.txt,5ec3089dd380e649eb619dbc
080418 JAMK Ver reforma campo.txt,5ec3089dd380e649eb619dbd
080418 JAMK Ver reunión marinos retirados.txt,5ec3089dd380e649eb619dbe
080518 JAMK CDMX colegiaturas universidades.txt,5ec3089dd380e649eb619df1
080518 JAMK CDMX redes coleg universidades.txt,5ec3089dd380e649eb619df2
090418 JAMK CDMX apertura o cerrazón.txt,5ec3089dd380e649eb619dbf
090418 JAMK CDMX compr erradicar pobreza.txt,5ec3089dd380e649eb619dc0
090518 JAMK Chih estancias infantiles.txt,5ec3089dd380e649eb619df3
090518 JAMK Chih seguridad.txt,5ec3089dd380e649eb619df4
090618 JAMK CDMX prepara 3er debate.txt,5ec3089dd380e649eb619e1e
100418 JAMK CDMX nombramientos.txt,5ec3089dd380e649eb619dc1
100418 JAMK Morelos elegiremos justicia.txt,5ec3089dd380e649eb619dc2
100418 JAMK Morelos recuperará paz.txt,5ec3089dd380e649eb619dc3
100518 JAMK CDMX salario jefas fam.txt,5ec3089dd380e649eb619df5
100518 JAMK Sinaloa apoyo jefas fam.txt,5ec3089dd380e649eb619df6
100618 Comunicado JAMK CNOP Mich.txt,5ec3089dd380e649eb619e1f
100618 JAMK Yuc arribo para 3er debate.txt,5ec3089dd380e649eb619e20
110418 JAMK Guerrero Avanzar Contigo.txt,5ec3089dd380e649eb619dc4
110418 JAMK Guerrero recuperará esplendor.txt,5ec3089dd380e649eb619dc5
110518 JAMK BC muro tecnológico.txt,5ec3089dd380e649eb619df7
120418 JAMK CDMX jóvenes.txt,5ec3089dd380e649eb619dc6
120418 JAMK CDMX sector agropecuario.txt,5ec3089dd380e649eb619dc7
120418 JAMK Edomex vs quien intente frenar des.txt,5ec3089dd380e649eb619dc8
120518 JAMK Comunicado Transp Coalición.txt,5ec3089dd380e649eb619df8
120518 JAMK SLP Huasteca turismo.txt,5ec3089dd380e649eb619df9
120518 JAMK SLP tecnología frontera.txt,5ec3089dd380e649eb619dfa
130518 JAMK CDMX frontera norte.txt,5ec3089dd380e649eb619dfb
130518 JAMK CDMX seg soc empleadas domest.txt,5ec3089dd380e649eb619dfc
130518 JAMK Edomex a favor familias.txt,5ec3089dd380e649eb619dfd
140418 JAMK Comunicado Oax solidaridad periodistas.txt,5ec3089dd380e649eb619dc9
140418 JAMK Oaxaca erradicar pobreza neonatos.txt,5ec3089dd380e649eb619dca
140418 JAMK Oaxaca pobreza extrema.txt,5ec3089dd380e649eb619dcb
140518 JAMK CDMX Moheno cultura.txt,5ec3089dd380e649eb619dfe
140518 JAMK Guanajuato Ref Educativa.txt,5ec3089dd380e649eb619dff
140618 JAMK Comunicado Amlo pedir cuentas Odebrecht.txt,5ec3089dd380e649eb619e21
140618 JAMK Sonora caso Odebrecht.txt,5ec3089dd380e649eb619e22
150418 JAMK CDMX enlace tercera edad.txt,5ec3089dd380e649eb619dcc
150418 JAMK Jal educación.txt,5ec3089dd380e649eb619dcd
150618 JAMK CDMX Meade segundo lugar.txt,5ec3089dd380e649eb619e23
150618 JAMK Comunicado TEPJF vs calumnia PAN.txt,5ec3089dd380e649eb619e24
150618 JAMK Querétaro empresarios.txt,5ec3089dd380e649eb619e25
160418 JAMK Jal desarrollo Edo..txt,5ec3089dd380e649eb619dce
160418 JAMK Jal presenta modelo dual.txt,5ec3089dd380e649eb619dcf
160618 JAMK Tabasco mejores propuestas.txt,5ec3089dd380e649eb619e26
170418 JAMK CDMX niños sin pobreza.txt,5ec3089dd380e649eb619dd0
170518 JAMK CDMX reforma social.txt,5ec3089dd380e649eb619e00
170618 JAMK Guasave Sin 15 días triunfo.txt,5ec3089dd380e649eb619e27
180418 JAMK NL proyecto eco.txt,5ec3089dd380e649eb619dd1
180418 JAMK NL transporte.txt,5ec3089dd380e649eb619dd2
180418 JAMK NL vs fomento violencia Amlo.txt,5ec3089dd380e649eb619dd3
180518 JAMK CDMX defensa migrantes.txt,5ec3089dd380e649eb619e01
180618 JAMK Ags voto razonado.txt,5ec3089dd380e649eb619e28
180618 JAMK Comunicado acusaciones RAC.txt,5ec3089dd380e649eb619e29
190418 JAMK CDMX iniciativa fuero.txt,5ec3089dd380e649eb619dd5
190418 JAMK Edomex Juana niñez.txt,5ec3089dd380e649eb619dd4
190518 JAMK BC llegada 2do debate.txt,5ec3089dd380e649eb619e02
190618 JAMK BCS vamos a ganar.txt,5ec3089dd380e649eb619e2a
190618 JAMK BCS vs pol migrante EU.txt,5ec3089dd380e649eb619e2b
190618 JAMK Comunicado cancelación Ref Ed.txt,5ec3089dd380e649eb619e2c
190618 JAMK INE impide PAN msj columniosos.txt,5ec3089dd380e649eb619e2d
200418 JAMK CDMX Ríos Píter se suma.txt,5ec3089dd380e649eb619dd6
200618 JAMK Repr PRI INE pruebas vs Amlo.txt,5ec3089dd380e649eb619e2e
